month,TempCels, RH, Ws,DMC,Fire ,Region,RainYest
6,29,57,18,3.4,0,B,0
6,29,61,13,4.1,0,B,0
6,26,82,22,2.5,0,B,1.3
6,25,89,13,1.3,0,B,13.1
6,27,77,16,3,0,B,2.5
6,31,67,14,5.8,1,B,0
6,33,54,13,9.9,1,B,0
6,30,73,15,12.1,1,B,0
6,25,88,13,7.9,0,B,0
6,28,79,12,9.5,0,B,0.2
6,31,65,14,12.5,1,B,0
6,26,81,19,13.8,1,B,0
6,27,84,21,6.7,0,B,0
6,30,78,20,4.6,0,B,1.2
6,28,80,17,3,0,B,0.5
6,29,89,13,1.7,0,B,3.1
6,30,89,16,1.1,0,B,0.7
6,31,78,14,1.9,0,B,0.6
6,31,55,16,4.5,0,B,0.3
6,30,80,16,3.4,0,B,0.1
6,30,78,14,6.3,1,B,0.4
6,31,67,17,7,0,B,0
6,32,62,18,8.2,1,B,0.1
6,32,66,17,11.2,1,B,0.1
6,31,64,15,14.2,1,B,0
6,31,64,18,17.8,1,B,0
6,34,53,18,21.6,1,B,0
6,32,55,14,25.5,1,B,0
6,32,47,13,18.4,0,B,0
6,33,50,14,22.9,1,B,0.3
7,29,68,19,2.5,0,B,0
7,27,75,19,2.4,0,B,1
7,32,76,20,2.6,0,B,1.2
7,33,78,17,4.6,0,B,0.7
7,33,66,14,7.6,1,B,0
7,32,63,14,10.9,1,B,0
7,35,64,18,9.7,0,B,0
7,33,68,19,12.5,1,B,0.2
7,32,68,14,7.7,0,B,0
7,33,69,13,6,0,B,1.4
7,33,76,14,8.1,0,B,0.7
7,31,75,13,7.9,0,B,0
7,34,81,15,9.7,0,B,0.1
7,34,61,13,7.8,0,B,0
7,30,80,19,5.2,0,B,0.6
7,28,76,21,7,0,B,0.4
7,29,70,14,9.4,1,B,0
7,31,68,14,12.1,1,B,0
7,35,59,17,12,1,B,0
7,33,65,15,12.3,1,B,0
7,33,70,17,18.5,1,B,0.1
7,28,79,18,16.4,0,B,0
7,27,66,22,10.5,0,B,0.1
7,28,78,16,9.6,0,B,0.4
7,31,65,18,12.5,1,B,0.1
7,36,53,19,17.1,1,B,0
7,36,48,13,22.2,1,B,0
7,33,76,15,24.4,1,B,0
7,32,73,15,26.7,1,B,0
7,31,79,15,28.5,1,B,0
7,35,64,17,31.9,1,B,0
8,36,45,14,4.8,0,B,0
8,35,55,12,5.8,0,B,0
8,35,63,14,5.7,0,B,0.4
8,34,69,13,8.2,1,B,0.3
8,34,65,13,11.1,1,B,0
8,32,75,14,13,1,B,0
8,32,69,16,15.5,1,B,0
8,32,60,18,11.3,0,B,0
8,35,59,17,14.8,1,B,0.3
8,35,55,14,18.6,1,B,0
8,35,63,13,21.7,1,B,0
8,35,51,13,15.6,0,B,0
8,35,63,15,19,1,B,0.3
8,33,66,14,21.7,1,B,0
8,36,55,13,15.6,1,B,0
8,36,61,18,11.7,1,B,0.3
8,37,52,18,16,1,B,0.3
8,36,54,18,20,1,B,0
8,35,62,19,23.2,1,B,0
8,35,68,19,25.9,1,B,0
8,36,58,19,29.6,1,B,0
8,36,55,18,33.5,1,B,0
8,36,53,16,37.6,1,B,0
8,34,64,14,40.5,1,B,0
8,35,60,15,43.9,1,B,0
8,31,78,18,45.6,1,B,0
8,33,82,21,47,1,B,0
8,34,64,16,50.2,1,B,0
8,35,48,18,54.2,1,B,0
8,35,70,17,25.2,0,B,0
8,28,80,21,8.7,0,B,0.8
9,25,76,17,1.3,0,B,16.8
9,22,86,15,0.7,0,B,7.2
9,25,78,15,1.2,0,B,10.1
9,29,73,17,1.9,0,B,3.8
9,29,75,16,3.4,1,B,0.1
9,29,74,19,3.6,0,B,0
9,31,71,17,3.2,0,B,0.1
9,30,73,17,2.6,0,B,0.3
9,30,77,15,2.1,0,B,0.9
9,33,73,12,2.2,0,B,1
9,30,77,21,1.9,0,B,1.8
9,29,88,13,2.6,0,B,1.8
9,25,86,21,1.3,0,B,0
9,22,76,26,1.1,0,B,4.6
9,24,82,15,0.9,0,B,8.3
9,30,65,14,3.2,0,B,0.4
9,31,52,14,6.4,1,B,0
9,32,49,11,9.8,1,B,0
9,29,57,14,12.5,1,B,0
9,28,84,18,13.5,1,B,0
9,31,55,11,16.5,1,B,0
9,31,50,19,10.6,0,B,0
9,32,54,11,7.9,0,B,0.6
9,29,65,19,5.5,0,B,0.5
9,26,81,21,3,0,B,0.6
9,31,54,11,6,0,B,5.8
9,31,66,11,8.3,1,B,0
9,32,47,14,7.1,0,B,0
9,26,80,16,2.9,0,B,0.7
9,25,78,14,1.9,0,B,1.8
6,32,71,12,2.5,0,S,1.4
6,30,73,13,2.7,0,S,0.7
6,29,80,14,2.2,0,S,4
6,30,64,14,5.2,0,S,2
6,32,60,14,6,0,S,0
6,35,54,11,8.4,1,S,0.2
6,35,44,17,9.9,1,S,0.1
6,28,51,17,7.7,0,S,0.2
6,27,59,18,8.5,0,S,1.3
6,30,41,15,13.3,1,S,0.1
6,31,42,21,18.2,1,S,0
6,27,58,17,21.3,1,S,0
6,30,52,15,11.4,0,S,0
6,27,79,16,6.4,0,S,2
6,28,90,15,7.2,0,S,0.7
6,29,87,15,4.2,0,S,0
6,31,69,17,3.9,0,S,0.4
6,33,62,10,4.6,0,S,4.7
6,32,67,14,4.4,0,S,8.7
6,31,72,14,3.8,0,S,4.5
6,32,55,14,8.3,1,S,0.2
6,33,46,14,8.1,0,S,0
6,33,59,16,7,0,S,1.1
6,35,68,16,10,1,S,0.8
6,34,70,16,12.8,1,S,0
6,36,62,16,16.5,1,S,0
6,36,55,15,20.9,1,S,0
6,37,37,13,27.2,1,S,0
6,37,36,13,17.9,1,S,0
6,34,42,15,12,0,S,0.6
7,28,58,18,3.2,0,S,1.7
7,33,48,16,7.9,1,S,2.2
7,34,56,17,9.7,1,S,0
7,34,58,18,13.6,1,S,0.1
7,34,45,18,18.7,1,S,0
7,35,42,15,15.5,1,S,0
7,38,43,13,13,1,S,0.3
7,35,47,18,9.8,1,S,0.5
7,36,43,15,9.4,1,S,6
7,34,51,16,8,0,S,1.9
7,34,56,15,7.1,0,S,3.8
7,36,44,13,12.6,1,S,2.9
7,39,45,13,11.3,1,S,0
7,37,37,18,12.9,1,S,0.6
7,34,45,17,18,1,S,0.2
7,31,83,17,19.4,1,S,0
7,32,81,17,21.1,1,S,0
7,33,68,15,23.9,1,S,0
7,34,58,16,27.8,1,S,0
7,36,50,16,32.7,1,S,0
7,36,29,18,39.6,1,S,0
7,32,48,18,44.2,1,S,0
7,31,71,17,46.6,1,S,0
7,33,63,17,20.9,0,S,0
7,39,64,9,11.7,0,S,1.1
7,35,58,10,10.8,0,S,1.2
7,29,87,18,11.8,0,S,0.2
7,33,57,16,15.7,1,S,0
7,34,59,16,19.5,1,S,0
7,36,56,16,23.8,1,S,0
7,37,55,15,28.3,1,S,0
8,38,52,14,4.4,0,S,0
8,40,34,14,10.8,1,S,0
8,39,33,17,17.1,1,S,0
8,38,35,15,23,1,S,0
8,34,42,17,23.6,1,S,0
8,30,54,14,11,0,S,0.1
8,34,63,13,7.2,0,S,3.1
8,37,56,11,11.2,1,S,2.9
8,39,43,12,16.5,1,S,0
8,39,39,15,15.8,1,S,0
8,40,31,15,22.5,1,S,0.2
8,39,21,17,18.4,1,S,0
8,35,34,16,16.9,1,S,0.4
8,37,40,13,22.3,1,S,0.2
8,35,46,13,16.9,1,S,0
8,40,41,10,22.6,1,S,0.3
8,42,24,9,30.3,1,S,0.1
8,37,37,14,35.9,1,S,0
8,35,66,15,32.7,1,S,0
8,36,81,15,34.4,1,S,0.1
8,36,71,15,36.9,1,S,0
8,37,53,14,41.1,1,S,0
8,36,43,16,46.1,1,S,0
8,35,38,15,51.3,1,S,0
8,34,40,18,56.3,1,S,0
8,33,37,16,61.3,1,S,0
8,36,54,14,65.9,1,S,0
8,35,56,14,37,0,S,0
8,35,53,17,20.7,1,S,0.4
8,34,49,15,24.8,1,S,0.5
8,30,59,19,27.8,1,S,0
9,29,86,16,0.9,0,S,0
9,28,67,19,2.9,0,S,0
9,28,75,16,4.4,1,S,0
9,30,66,15,4.1,0,S,0
9,30,58,12,4,0,S,0.2
9,34,71,14,3.3,0,S,4.1
9,31,62,15,5.8,1,S,6.5
9,30,88,14,6.6,1,S,0
9,30,80,15,7.9,1,S,0
9,29,74,15,4.7,0,S,0
9,30,73,14,6.5,0,S,1.1
9,31,72,14,8.3,1,S,0
9,29,49,19,11.5,1,S,0
9,28,81,15,12.6,1,S,0
9,32,51,13,16,1,S,0
9,33,26,13,21.2,1,S,0
9,34,44,12,25.2,1,S,0
9,36,33,13,25.8,1,S,0
9,29,41,8,24.9,1,S,0.1
9,34,58,13,18.7,0,S,0.1
9,35,34,17,23.6,1,S,0.2
9,33,64,13,26.1,1,S,0
9,35,56,14,29.4,1,S,0
9,26,49,6,11.9,0,S,0
9,28,70,15,13.8,0,S,2
9,30,65,14,16,1,S,0
9,28,87,15,6.5,0,S,0
9,27,87,29,3.5,0,S,4.4
9,24,54,18,4.3,0,S,0.5
9,24,64,15,3.8,0,S,0.1
